entity_type,entity_id,name,status,issues,fixes_applied
product,901ca06f-f8f6-5c12-a516-2f3143b7f6d7,ALIVE OPTICAL WHITE ENDLESS,clean,,
product,9023b5c6-3901-5689-90c1-c3716054cf51,BARCELONA SAGA BLACK,clean,,
product,92416e06-ca81-517b-943e-fce402d56961,TAG 24187,clean,,
product,924ba57d-6237-55d3-a93c-7791de292d62,BARCELONA ATLAS 009,clean,,
product,9317ec0f-fc3d-5150-8524-13349679e440,LIZZART ROCK ALMOND,clean,,
product,93425ffc-afa6-535f-998a-425ef766f457,REY CERA PREXURY GREEN,clean,,
product,936b4af6-e0fc-5d61-ae5f-c80f01430f4b,BARCELONA DODDABETTA 601,clean,,
product,93813d71-71c3-5d4a-86fe-1df671ab2c81,TAG 24134,clean,,
product,9478fa7a-0a4a-5456-9a1a-8f816a858a07,VARMORA ZERON IVORY,clean,,
product,9485902d-ebe4-5bc6-8609-b8abbcdd166d,BARCELONA 21051 HL1,clean,,
product,94d9808b-fe7b-5706-a48f-bf306cfb9624,COVERTEK ROCKER ORION BEIGE,clean,,
product,954bb889-a3ff-507b-8343-4dc0c945aa2b,PENGVIN 2067 HL3,clean,,
product,972eda6f-cb21-50cd-a00f-c200c4f17adb,JUBILY 31200 D,clean,,
product,974db949-79d7-5c57-a6eb-f3d1b29bafe6,PORTOCER FALLON LEAVES DECORE,clean,,
product,9801bac0-cd7e-5e9d-80c4-a05b877d6a7e,BARCELONA HARDEOL 627,clean,,
product,98238e63-2875-5266-8bb2-2ac18078ae0a,ANTIEK BORGHINI BROWN,clean,,
product,99cdd676-8f49-5f90-8fe7-87a28a54ef0b,SUNGLARE MELODY,clean,,
product,9b2b6613-13b3-5af6-beac-fd838fb21a9c,VARMORA MIAMI GREY,clean,,
product,9bb94740-c46c-5ae1-a704-4f8129eb38ed,BARCELONA ANAMUDI 628,clean,,
product,9c12c621-d0ca-5691-8caa-f015f195406d,COVERTEK ROCKER KASHMIRI BROWN,clean,,
product,9c7205cf-479d-56e2-93ae-6bb463aca98e,ANTIEK MOHAK SHILA,clean,,
product,9c7383ac-6e3e-5f5d-8f88-02ff0b527cc4,PORTOCER ORIANA WATERPAINT DECORE,clean,,
product,9c9df778-c044-5a1b-a6fe-ba2ccc11d115,VARMORA ASTONIA GOLD,clean,,
product,9fef0897-0240-5d0a-bd43-131eb1507ec5,BARCELONA 21235 L,clean,,
product,a0ba778b-d0f4-5862-925b-053295a8c7c4,BARCELONA 21304 HL1,clean,,
