product_id,product_name,status,txn_count,opening_balance,baseline_opening_balance,reconciliation_gap,net_movement,current_quantity,projected_final,reasons
52a19b02-b462-576b-a502-38bd9474d690,CAPTIVA 3262 D,clean,69,0,0,0,36,36,36,
5324449b-247d-5c5b-9560-95eefd24c7c3,SUNGLARE ROYAL ROSA,clean,10,0,0,0,0,0,0,
533d96d7-8a90-584d-9be2-b36323bfc221,JUBILY 33038 HL1,clean,23,0,0,0,0,0,0,
55fa075e-ff14-5061-b9fd-e74f0a644ae3,ASIAN GRANITO LIMITED ARLES MARMO DECOR,clean,2,0,0,0,0,0,0,
567ae67d-ab20-5d35-821d-7dbfc26de54f,BARCELONA 21615 HL1,clean,10,0,0,0,95,95,95,
590fe28d-c048-55ac-a2c8-8f4dee320105,BARCELONA 21527 D,clean,4,0,0,0,47,47,47,
595bce7a-b2eb-55c9-af90-946a4faa6f6e,ANTIEK EMBRADOR RICH,clean,18,0,0,0,0,0,0,
59a513d8-de49-598d-8504-4a4eb1af0a9d,RANGE SLIDE EMERALD L,clean,15,0,0,0,17,17,17,
5b199664-f081-585a-9898-565649bad400,RANGE SLIDE EMERALD D,clean,16,0,0,0,24,24,24,
5bdab55f-ba6b-5d14-b86e-167b7deffcb8,TAG 24056,clean,18,0,0,0,0,0,0,
5c1a72f9-982d-51ef-8859-48d86867b7ed,BARCELONA SCERA HL,clean,9,0,0,0,5,5,5,
5eabdaf1-16f2-53b3-a1d0-93ca0d983ee6,BARCELONA 31111 L,clean,3,0,0,0,0,0,0,
5f513487-2440-56b7-9486-8b0c47e3d067,BARCELONA SALTORO 617,clean,29,0,0,0,138,138,138,
5f9f1ead-a871-52a5-954d-82d9707ca58f,JUBILY 31200 HL1,clean,21,0,0,0,96,96,96,
6118893e-8db2-5b34-940f-b5bee4e1c477,BARCELONA 21507 HL1,clean,9,0,0,0,28,28,28,
6121aaf4-6908-594f-a5bd-bbc092239691,COVERTEK SPIDER GREY,clean,11,0,0,0,0,0,0,
614f6190-0251-5083-a999-61c1f79c14fe,REY CERA CREOS TEAL,clean,21,0,0,0,0,0,0,
615dcba6-6553-5cde-b31d-da8b19cdca03,VARMORA BARCELONA GREY,clean,9,0,0,0,1,1,1,
61f04b52-ed27-5690-bb6c-f108e22c47b5,COVERTEK CRESTALLO GRAPHITE,clean,7,0,0,0,0,0,0,
62668dfb-6e4d-58d7-bbc3-9ae24d5bae7e,VARMORA PACIFIC ONYX BEIGE,clean,5,0,0,0,0,0,0,
63a0aa75-13e7-56ad-b683-abe011901993,TAG 24064,clean,11,0,0,0,0,0,0,
63a7decb-458f-50b1-b016-e93fc62ca341,ETHICS OLV-29040,clean,15,0,0,0,10,10,10,
6771b0be-835b-5df9-b985-1a1a507c6dbf,TAG CT RECTA GLOW,clean,3,0,0,0,164,164,164,
68798100-6996-54d5-9f97-de0a3374876a,LIZZART ROCK BLACK,clean,25,0,0,0,37,37,37,
6c9d6903-1d7f-543d-8576-558b39bc7d0b,VARMORA TOKYO IVORY,clean,3,0,0,0,0,0,0,
6ce0a6a3-be60-5dfe-9a04-53cbc95aabf2,VARMORA PEROLA ONYX,clean,12,0,0,0,0,0,0,
6db08b35-e38b-591d-bdf1-5b4a433f3f7c,ETHON END 7097,clean,29,0,0,0,178,178,178,
6db6c8f0-d8ab-54f5-9156-282aeebc88e1,BARCELONA NEVADO 619,clean,77,0,0,0,243,243,243,
